County,Postion,Name,Physical Address,Zip Code,Mailing Address,County Email Addresses,Phone ,Fax,Primary Email ,Secondary Email
EASTLAND COUNTY,Elections Administrator,Temi Nichols,"100 West Main Suite 104, Eastland 76448",76448,"100 West Main Suite 104, Eastland 76448",County Email Address,(254) 629-6051,(254) 631-0067,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
ECTOR COUNTY,Elections Administrator,Elizabeth “Lisa” Sertuche,"1010 E. 8th St., Suite 101, Odessa 79761",79761,"1010 E. 8th St., Suite 101, Odessa 79761",County Email Address,(432) 498-4030,(432) 498-4009,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
EDWARDS COUNTY,District & County Clerk,Olga Lydia Reyes,"101 E. Main St, Rocksprings, TX 78880",78880,"P.O. Box 184, Rocksprings 78880",County Email Address,(830) 683-2235,(830) 683-5376,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
EL PASO COUNTY,Elections Administrator,Lisa Renee Wise,"500 E. San Antonio, Suite 314, El Paso 79901",79901,"500 E. San Antonio, Suite 314, El Paso 79901",County Email Address,(915) 273-3597,(915) 273-3574,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
ELLIS COUNTY,Elections Administrator,Jana Onyon,"204 E. Jefferson St., Waxahachie 75165",75165,"204 E. Jefferson St., Waxahachie 75165",County Email Address,(972) 825-5195,(972) 923-5194,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
ERATH COUNTY,Elections Administrator ,Lana Stevens ,"222 East College St., Stephenville 76401",76401,"222 East College St., Stephenville 76401",County Email Address,(254) 965-8990,(254) 965-5732,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
FALLS COUNTY,Elections Administrator,Nicket Peoples-Taylor,"125 Bridge St., Room 101  Marlin, TX 76661",76661,"P.O. Box 810, Marlin 76661",County Email Address,(254) 883-1521,(254) 804-0044,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
FANNIN COUNTY,Elections Administrator,Cristian Perez Garcia,"800 E 2nd St, Bonham 75418",75418,"800 E 2nd St, Bonham 75418",County Email Address,(903) 583-7488, (903) 582-5101,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
FAYETTE COUNTY,Elections Administrator,Donna Macik,"275 Ellinger Road, Suite A, La Grange 78945",78945,"275 Ellinger Road, Suite A, La Grange 78945",County Email Address,(979) 968-6563,(979) 968-6426,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
FISHER COUNTY,County Clerk,Pat Thomson,"112 N. Concho Street  Roby, TX  79543",79543,"P.O. Box 368, Roby 79543",County Email Address,(325) 776-2401,(325) 776-3274,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
FLOYD COUNTY,County Clerk,KeeLee Rawls ,"105 S. Main, Room 101, Floydada 79235",79235,"105 S. Main, Room 101, Floydada 79235",County Email Address,(806) 983-4900,(806)  983-4901,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
FOARD COUNTY,District & County Clerk,Paula Moore,"101 South Main  Crowell, TX  79227",79227,"P.O. Box 539, Crowell 79227",County Email Address,(940) 684-1365,(940) 684-1918,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
FORT BEND COUNTY,Elections Administrator,Chase Wilson,"3730 Bamore Road, Rosenberg, 77471",77471,"Mailing Address: 301 Jackson St. Richmond, Texas 77469",County Email Address,(281) 341-8670,(281) 341-4418,Submit your Federal Postcard Application (FPCA) via email,Submit your Application for Ballot By Mail (ABBM) via email
FRANKLIN COUNTY,Elections Administrator,Yesinia Castro,"502 East Main St., Mt. Vernon, TX 75457",75457,"P.O. Box 1047, Mt. Vernon, TX 75457",County Email Address,(903) 537-8353,(903) 537-8354,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
FREESTONE COUNTY,Elections Administrator,Renee' McBay,"444 E. Main St. Fairfield, TX 75840",75840,"P.O. Box 1150 Fairfield, TX 75840",County Email Address,(903) 389-0469,(903) (903) 389-3839,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
FRIO COUNTY,Elections Administrator,Daniella Perez,"650 E. San Antonio, Pearsall, Texas  78061",78061,"500 E. San Antonio St., #5 Pearsall 78061",County Email Address,(830) 505-7677,(830) 505-7197,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
GAINES COUNTY,Elections Administrator,Kayla Pipkin,"101 S. Main, Room 206, Seminole 79360",79360,"101 S. Main, Room 206, Seminole 79360",County Email Address,(432) 758-4630,432-955-1025,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
GALVESTON COUNTY,County Clerk,Dwight D. Sullivan,"10000 Emmett F. Expressway, Suite 1152, Texas City 77591",77591,"P.O. Box 17253, Galveston 77552-7253",County Email Address,(409) 766-2200,(409) 765-3160,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
GARZA COUNTY,Elections Administrator ,Kylene Wheeler,"300 West Main Street  Post, TX  79356",79356,"P.O. Box 847, Post 79356",County Email Address,806-990-1228,N/A,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
GILLESPIE COUNTY,Elections Administrator,Jim Riley,"95 Frederick Road,  Fredericksburg, TX  78624",78624,"P.O. Box 351, Fredericksburg 78624",County Email Address,(830) 997-6518 ,(830) 990-2307,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
GLASSCOCK COUNTY,District & County Clerk,Rebecca Batla,"209 S. Myrl,  Garden City, TX 79739",79739,"P.O. Box 190, Garden City 79739",County Email Address,(432) 354-2371,(432) 354-2616,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
GOLIAD COUNTY,Elections Administrator,Norma Edison,"329 W. Franklin St., P.O. Box 428 Goliad, TX 77963",77963,"329 W. Franklin St., P.O. Box 428 Goliad, TX 77963",County Email Address,(361) 645-1241,(361) 645-8544,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
GONZALES COUNTY,Elections Administrator,Gwen Schaefer,"427 Saint George, Suite 306, Gonzales 78629",78629,"P.O. Box 1753, Gonzales TX 78629",County Email Address,(830) 519-4054,N/A,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
GRAY COUNTY,Elections Administrator,Randa Hiett,"205 N. Russell, Rm 415  Pampa, TX  79065",79065,"P.O. Box 2493, Pampa 79066",County Email Address,(806) 669-8068,(806) 669-4004,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
GRAYSON COUNTY,Elections Administrator,Julie Phillips,"115 W. Houston St., Sherman 75090",75090,"115 W. Houston St., Sherman 75090",County Email Address,(903) 893-8683,(903) 891-4370,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
GREGG COUNTY,Elections Administrator,Jennifer Briggs,"101 E. Methvin, Suite 112  Longiew, TX  75601",75601,"P.O. Box 2827, Longview 75606",County Email Address,(903) 236-8458,903-309-2562,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
GRIMES COUNTY,Elections Administrator,Rachel Walker,"100 Main Street  Anderson, TX  77830",77830,"P.O. Box 375, Anderson 77830",County Email Address,(936) 873-4422,(936) 873-2083,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
GUADALUPE COUNTY,Interim Elections Administrator,Michelle Shields ,"3251 N. Hwy 123 Seguin, 78155",78155,"P.O. Box 1346, Seguin 78156-1346",County Email Address,(830) 303-6363,(830) 303-6373,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
HALE COUNTY,County Clerk,Christine Reyna,"500 Broadway #140, Plainview 79072",79072,"500 Broadway #140, Plainview 79072",County Email Address,(806) 291-5261,(806) 291-9810,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
HALL COUNTY,District & County Clerk,Patricia Snider,"101 S. 9th Street, Ste. 8, Memphis 79245",79245,"101 S. 9th Street, Ste. 8, Memphis 79245",County Email Address,(806) 259-2627,(806) 259-5078,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
HAMILTON COUNTY,County Clerk,Rachel Lamb Geeslin,"102 N. Rice St., Suite 107, Hamilton 76531",76531,"102 N. Rice St., Suite 107, Hamilton 76531",County Email Address,(254) 386-1204,(254) 386-8727,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
HANSFORD COUNTY,District & County Clerk,Janet Torres ,"15 NW Court, Spearman 79081",79081,"15 NW Court, Spearman 79081",County Email Address,(806) 659-4110,(806) 659-4168,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
HARDEMAN COUNTY,District & County Clerk,Deborah Akers,"300 South Main
Quanah, TX 79252-0030",-0030,"P.O. Box 30, Quanah 79252",County Email Address,(940) 663-2901,(940) 663-5161,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
HARDIN COUNTY,Elections Administrator ,Alysa Freeman ,"300 West Monroe, Suite B-110  Kountze, Texas 77625 ",7625 ,"P.O Box 159, Kountze 77625",County Email Address,(409) 209-5445,(409) 246-5287,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
HARRIS COUNTY,County Clerk ,Teneshia E. Hudspeth,15600 Morales Rd. Houston 77032,77032,"P.O. Box 1148, Houston 77251-1148",County Email Address,(713) 755-6965,"(713) 755-4983  
(713) 437-8683",Submit your Application for Ballot By Mail (ABBM) via email,Submit your Federal Postcard Application (FPCA) via email
HARRISON COUNTY,Elections Administrator,Donald Robinette,"415 East Burleson Street Marshall, TX 75671",75671,"P.O. Box 8409, Marshall 75671",County Email Address,(903) 935-4822,(903) 938-1509,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
HARTLEY COUNTY,District & County Clerk,Melissa Mead,"900 Main St
Channing, TX 79018",79018,"P.O. Box 189, Channing, Texas 79018",County Email Address,(806) 235-3582,(806) 235-2316,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
HASKELL COUNTY,County Clerk,Belia Abila,"1 Ave D
Haskell, TX 79521",79521,"P.O. Box 725, Haskell 79521",County Email Address,(940) 864-2451,(940) 864-6164,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
HAYS COUNTY,Elections Administrator,Jennifer Doinoff,"120 Stagecoach Trail, San Marcos, TX 78666",78666,"120 Stagecoach Trail, San Marcos, TX 78666",County Email Address,512-393-7310,(512) 393-7337,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
HEMPHILL COUNTY,District & County Clerk,Sylvia Guerrero,"400 Main Street, Suite 203
Canadian, TX 79014",79014,"P.O. Box 867, Canadian 79014",County Email Address,(806) 323-6212,(806) 323-5271,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
HENDERSON COUNTY,Elections Administrator,Paula Ludtke,"201 East Larkin, Athens, Texas 75751",75751,"P.O. Box 2720, Athens 75751",County Email Address,(903) 675-6149,(903) 675-6101,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
HIDALGO COUNTY,Elections Administrator,Hilda A. Salinas,"2015 W. Jackson Creek Ave., Edinburg 78539",78539,"P.O. Box 659, Edinburg 78540-0659",County Email Address,(956) 318-2570,(956) 393-2039,Submit your Application for Ballot By Mail or Federal Postcard Application via email,
